CustomerID,Name,Email,Phone,City,Country,Age,Gender,AccountBalance,ActiveCustomer
CUST1000,Casey Maldonado,xwilliams@gmail.com,001-474-162-9320x76004,South Teresaborough,Poland,41,Other,68763.4,0
CUST1001,Timothy Edwards,alexis29@perkins-watts.com,001-801-106-8064x7581,Priceville,Saint Kitts and Nevis,57,Male,48400.37,1
CUST1002,Jonathan Baker,pagewayne@bradley-patterson.biz,001-632-562-3114,South Craig,Myanmar,59,Other,4209.17,0
CUST1003,Jocelyn Payne,lsilva@maxwell.com,286-070-9420,South Catherineborough,Mauritania,58,Female,82878.23,1
CUST1004,Kevin Sandoval,robertwhite@hotmail.com,(062)940-5754,Phillipside,Iraq,44,Female,8541.28,1
CUST1005,Nicholas Oneill,fcollier@sanchez.biz,680.529.4374,Tonyfort,South Georgia and the South Sandwich Islands,47,Female,3753.6,0
CUST1006,Courtney Lopez,donna69@fernandez.net,022.557.4412x3555,New John,Guinea,64,Male,46477.29,1
CUST1007,Kelsey Taylor,evansjason@alexander.com,1519641487,Karenhaven,Hong Kong,31,Other,98963.45,1
CUST1008,Gregory Burns,rebecca79@yahoo.com,001-912-187-8469,South Angelaside,Turks and Caicos Islands,37,Male,98544.21,0
CUST1009,Patricia Tate,skent@smith-brock.org,910.063.0779x397,Fryhaven,Moldova,32,Male,51253.58,1
CUST1010,Darius Little,kimdonald@yahoo.com,(967)891-9490x76490,Lake Riley,Samoa,24,Other,66821.44,1
CUST1011,Angela Foley,miavaldez@ryan-clark.com,001-253-622-9963x871,Gonzalezshire,Liberia,24,Male,47758.9,1
CUST1012,Sandra Nixon,melissapayne@thompson.com,3987941858,Port Kyle,Solomon Islands,20,Female,35303.9,1
CUST1013,John Lawson,paul98@cook-jones.info,980-632-6168x41587,North Katherineview,Gabon,55,Male,10469.02,0
CUST1014,Larry Medina,athomas@gmail.com,(240)791-8098x50034,Justinfort,Sierra Leone,19,Male,74303.73,1
CUST1015,Nicole Hernandez,jason12@glover-wong.com,(664)872-4080x1921,West Jaimeberg,Ethiopia,62,Other,18231.72,1
CUST1016,Scott Taylor,mitchellchristine@gmail.com,(583)814-1343x01415,New Derrickchester,Bosnia and Herzegovina,29,Other,51283.49,1
CUST1017,David Stone,simonheidi@walsh.com,504-733-1101,South Laurenhaven,Malta,33,Other,31278.32,0
CUST1018,William Saunders,williamsonrhonda@gmail.com,001-211-193-0943,Grantborough,Chad,38,Female,92042.21,0
CUST1019,Barbara Davis,slester@kelley-thompson.com,(942)704-2747x74160,Patricktown,Kuwait,57,Female,9471.12,1
CUST1020,Jennifer Bennett,hcarpenter@yahoo.com,289.611.9863,Jonesberg,Portugal,40,Female,15350.04,0
CUST1021,Mark West,ericspencer@yahoo.com,(692)085-8085,Torreshaven,Switzerland,47,Other,23921.57,0
CUST1022,Christopher Wade,umyers@mcintosh.com,(224)206-3311x605,Lewisland,Falkland Islands (Malvinas),44,Female,35485.12,0
CUST1023,Laura Marquez MD,zwalker@strickland-boyle.org,680.360.9982x099,Amandaside,Bangladesh,69,Other,57765.44,0
CUST1024,Robert Welch,cranekimberly@johnson.org,(180)226-3480,Millsfurt,Oman,40,Male,28548.5,0
CUST1025,Jason Chen,rmejia@bryant-burns.com,872-694-2838,New Thomas,Mayotte,48,Female,46623.33,1
CUST1026,Dawn Thompson,michaelevans@white.biz,(660)591-6502x004,Lake Paulfurt,Tonga,48,Female,1566.96,0
CUST1027,Mrs. Pamela Huynh,clayryan@hotmail.com,(174)143-9116x24352,Tapiaborough,Saint Martin,22,Male,19990.8,0
CUST1028,Scott Carr,fullerandrew@hotmail.com,(273)288-5148x377,West Susan,Northern Mariana Islands,33,Other,32972.93,1
CUST1029,Cynthia Miller,andersendavid@campbell.com,(042)495-3440,Danaport,Guinea-Bissau,51,Female,59251.14,1
CUST1030,Elizabeth Mays,tonyarmstrong@hart-briggs.net,001-656-347-3435,West Stephanieburgh,Grenada,47,Other,83900.25,1
CUST1031,Lawrence Austin DDS,margaretsims@hotmail.com,(849)935-1761x5915,South Jenniferstad,Myanmar,69,Other,96518.33,1
CUST1032,Alyssa Sanders MD,timothyreed@higgins.info,001-789-349-5632x57421,Gonzalezton,Turkey,62,Male,13656.83,1
CUST1033,Catherine Meyer,patrickmiller@yahoo.com,992.201.8349,East Marcusfurt,Hungary,46,Other,8627.86,1
CUST1034,Lisa Rogers,juan44@cox.biz,150.506.7877,Palmerstad,Suriname,53,Other,38631.84,0
CUST1035,Charles Fields,iperez@lopez.com,249-700-3317,Lake Andrew,Netherlands,57,Female,46780.95,1
CUST1036,Tiffany Reyes,brooksjudy@hammond-norton.com,(220)036-1308x0309,West Alexisburgh,French Polynesia,34,Female,27661.3,0
CUST1037,Kirsten Hamilton,ecarter@gmail.com,552-846-6630x01013,Port Alexander,Romania,68,Other,81913.44,1
CUST1038,William Grant,yandrews@yahoo.com,747.663.5068x317,Lake Terri,Paraguay,64,Female,53499.49,1
CUST1039,Angel Nguyen,pagewilliam@yahoo.com,117.668.3387,Tashahaven,Slovenia,32,Male,27597.11,0
CUST1040,Don Wheeler,ggeorge@barker-winters.info,(823)193-9101x3536,Kristinamouth,United States Minor Outlying Islands,46,Male,64631.22,0
CUST1041,Christopher Lewis,kathrynmcdonald@brown-davis.com,221.371.3898x739,Lake Heatherside,Brunei Darussalam,34,Female,94419.51,0
CUST1042,Jeremy Carpenter,margaret28@yahoo.com,(093)135-4309x87625,Paulabury,United States Minor Outlying Islands,56,Other,63515.71,1
CUST1043,Cassidy Matthews,beverlywilkerson@hotmail.com,001-101-169-7041x151,Lake Alex,Costa Rica,57,Male,27501.23,1
CUST1044,Carol Hill,carloswarren@moore.com,926.159.1101,Richardfurt,Sierra Leone,34,Male,94147.22,0
CUST1045,Justin Wilson,dhowell@miller-roberts.biz,+1-606-175-8337x559,Williamborough,Cuba,61,Male,71500.97,1
CUST1046,Christopher Barber,pinedaamanda@taylor.com,001-901-732-6229x87230,North Kennethshire,Bangladesh,41,Other,14596.06,0
CUST1047,Mary Stevens,taylorryan@knight-ho.com,498.276.3058x3845,Larryville,Nicaragua,59,Female,39765.84,1
CUST1048,Brianna Terry,awhite@hotmail.com,598-051-7325,Lake Joyhaven,Tunisia,26,Other,96204.54,1
CUST1049,Meghan Lewis,millermichelle@reynolds-simmons.com,001-243-114-5764x490,Floresport,Macao,53,Other,48030.67,1
CUST1050,Charlene Sloan,josejensen@hotmail.com,464-436-7216,North Williamfurt,Argentina,47,Male,2472.21,0
CUST1051,Manuel Gilmore,michaelhart@hotmail.com,368.945.6240,Port Jimmy,Somalia,48,Other,98947.96,0
CUST1052,Michael Hardy,etanner@yahoo.com,001-084-246-2578,Lake Denisestad,Luxembourg,39,Male,94651.2,1
CUST1053,John Robertson,burnsabigail@yahoo.com,001-879-738-1020,Bradleyton,Nicaragua,24,Female,2019.47,0
CUST1054,Jose Cole,dana10@yahoo.com,+1-784-908-5129x7442,Washingtonville,Panama,30,Female,93757.52,0
CUST1055,Shane Sutton,hawkinsfrank@hall-mercer.net,683-964-7448x0542,Parkerfurt,Albania,64,Female,70044.04,0
CUST1056,Christian Michael,christina74@brown-west.com,994-400-0078,Mclaughlinborough,Lithuania,57,Female,12892.79,1
CUST1057,Bridget Marshall,welchmadison@nelson-lynch.info,001-401-895-9419x6413,New Davidfurt,Turkmenistan,55,Other,66781.34,0
CUST1058,Daniel Adams,petersonedward@fleming.com,495.601.5030,Howefurt,Afghanistan,46,Female,39679.12,0
CUST1059,Michael Thomas,claytonlivingston@gmail.com,5479439210,South Cynthiastad,Niue,53,Male,24250.33,0
CUST1060,Denise Flores,nmalone@howard.com,787-823-4356x611,South Betty,French Southern Territories,23,Male,70146.19,0
CUST1061,Lance Kerr,uhowe@gmail.com,(811)858-8827x7534,Johnstad,Palestinian Territory,50,Female,59290.88,0
CUST1062,Rachael Alvarado,kathleenwoods@kirk.com,016.567.7336x283,Melendezborough,Canada,68,Female,71781.37,1
CUST1063,Joe Lopez,gtaylor@daniel.net,(407)069-6171x65349,Richardhaven,Mauritania,62,Other,33432.9,1
CUST1064,Derek Zamora,josephterry@gmail.com,042-663-4906,East Robinside,Serbia,21,Female,47269.31,0
CUST1065,Jason Phillips,wthomas@yahoo.com,635.538.2367x5924,East Mary,Norway,38,Female,83732.34,1
CUST1066,David Russell,fjohnson@gmail.com,939-846-9994,East Williamstad,Jersey,36,Female,59520.46,0
CUST1067,Jane Moore,george43@martin.com,2929892918,Sharpville,Belarus,29,Other,13430.8,1
CUST1068,Lucas Joyce,rachel17@hernandez.com,947-517-1454,Hamptonview,Macedonia,50,Female,61531.97,1
CUST1069,Melissa Webster,gailhouston@mcknight-neal.com,390.365.8897x004,Jeffreyfort,Yemen,51,Female,24199.11,0
CUST1070,Megan Fox,danaburgess@yahoo.com,(538)676-2081x061,Port Deborahfort,Mexico,39,Female,18251.92,0
CUST1071,Crystal Williams,bethanymoore@gmail.com,001-693-063-5665,South Ashleeburgh,Micronesia,32,Other,28670.06,1
CUST1072,Dennis Franklin,anne62@young.com,5631356629,Lake Stacyland,Slovakia (Slovak Republic),44,Male,3115.61,0
CUST1073,Kristen Hall,larry04@perry.info,(442)324-2100x824,East Anthony,Iran,60,Other,9161.48,0
CUST1074,Donald Johnson,perezedwin@yahoo.com,076-361-1110,Mortonchester,Dominican Republic,65,Other,88940.1,0
CUST1075,James French,williamcook@hotmail.com,(054)202-4095,Keithport,New Caledonia,37,Other,24334.87,1
CUST1076,Darryl Sanchez,pfleming@burgess.com,001-701-172-7648x811,South Johnport,Hungary,57,Female,57005.91,0
CUST1077,Jacob Massey,susanhoffman@lucas-miller.com,+1-751-929-4005x1332,New Debra,Heard Island and McDonald Islands,37,Other,63165.7,0
